,Awards,Awards_Won,Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_won,Oscar_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won
85,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
86,1 nomination.,0,1,0,0,0,0,0,0,0,0
87,Won 1 Oscar. Another 11 wins & 14 nominations.,12,14,0,0,0,0,0,1,0,0
88,Won 3 Primetime Emmys. Another 44 nominations.,3,44,0,0,0,0,3,0,0,0
89,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
90,2 nominations.,0,2,0,0,0,0,0,0,0,0
91,1 win.,1,0,0,0,0,0,0,0,0,0
92,Nominated for 7 Oscars. Another 6 wins & 36 nominations.,6,43,0,7,0,0,0,0,0,0
93,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
94,1 nomination.,0,1,0,0,0,0,0,0,0,0
95,1 nomination.,0,1,0,0,0,0,0,0,0,0
96,2 wins.,2,0,0,0,0,0,0,0,0,0
97,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
98,14 wins & 22 nominations.,14,22,0,0,0,0,0,0,0,0
99,1 nomination.,0,1,0,0,0,0,0,0,0,0
100,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
101,1 nomination.,0,1,0,0,0,0,0,0,0,0
102,12 nominations.,0,12,0,0,0,0,0,0,0,0
103,5 wins & 34 nominations.,5,34,0,0,0,0,0,0,0,0
104,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations.,1,3,1,0,0,0,0,0,0,0
105,9 nominations.,0,9,0,0,0,0,0,0,0,0
106,8 nominations.,0,8,0,0,0,0,0,0,0,0
107,2 nominations.,0,2,0,0,0,0,0,0,0,0
108,1 nomination.,0,1,0,0,0,0,0,0,0,0
109,2 nominations.,0,2,0,0,0,0,0,0,0,0
110,1 win.,1,0,0,0,0,0,0,0,0,0
111,3 wins.,3,0,0,0,0,0,0,0,0,0
112,1 nomination.,0,1,0,0,0,0,0,0,0,0
113,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
114,2 nominations.,0,2,0,0,0,0,0,0,0,0
115,10 wins & 22 nominations.,10,22,0,0,0,0,0,0,0,0
116,1 nomination.,0,1,0,0,0,0,0,0,0,0
117,Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.,21,74,0,0,2,0,0,0,0,0
118,1 nomination.,0,1,0,0,0,0,0,0,0,0
119,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
120,1 win.,1,0,0,0,0,0,0,0,0,0
121,1 win.,1,0,0,0,0,0,0,0,0,0
122,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
123,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
124,1 win.,1,0,0,0,0,0,0,0,0,0
125,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
